NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
646,E2710000604201,ラ・メール,大阪府大阪市住之江区住之江1-4-36,1,,,,1,,,,,34.60423328,135.4870955,
647,E2710000605201,ロイヤル住之江,大阪府大阪市住之江区住之江1-4-47,1,,,,1,,,,,34.60537912,135.4873885,
648,E2710000606201,ロイヤル安立,大阪府大阪市住之江区住之江2-10-17,1,,,,1,,,,,34.60132799,135.4866954,
649,E2710000607201,アクシスコート住之江,大阪府大阪市住之江区住之江2-3-18,1,,,,1,,,,,34.60353202,135.4868138,
650,E2710000608201,ミシェール住之江,大阪府大阪市住之江区住之江2-7-11,1,,,,1,,,,,34.60267,135.486324,
651,E2710000609201,市営住之江住宅１号棟,大阪府大阪市住之江区住之江3-11,1,,,,1,,,,,34.59909193,135.4856229,
652,E2710000610201,市営住之江住宅２号棟,大阪府大阪市住之江区住之江3-12,1,,,,1,,,,,34.59868569,135.4852796,
653,E2710000611201,市営住之江住宅３号棟,大阪府大阪市住之江区住之江3-14,1,,,,1,,,,,34.59834126,135.4851508,
654,E2710000612201,安住公園,大阪府大阪市住之江区住之江3-17,,,,1,,,,,,34.5978147,135.4848885,
655,E2710000613201,アジア太平洋トレードセンター,大阪府大阪市住之江区住之江区南港北2-1-10,1,,,,1,,,,,34.63736501,135.4130628,
656,E2710000614201,新北島南公園,大阪府大阪市住之江区新北島2-3,,,,1,,,,,,34.60373278,135.4711509,
657,E2710000615201,新北島東公園,大阪府大阪市住之江区新北島3-5,,,,1,,,,,,34.60687189,135.4697274,
658,E2710000616201,新北島中公園,大阪府大阪市住之江区新北島3-7,,,,1,,,,,,34.60733839,135.4664011,
659,E2710000617201,市営新北島住宅２号館,大阪府大阪市住之江区新北島4-1,1,,,,1,,,,,34.605211,135.467559,
660,E2710000617202,市営新北島住宅１号館,大阪府大阪市住之江区新北島4-1,1,,,,1,,,,,34.60486,135.468859,
661,E2710002997202,市営新北島住宅４号館,大阪府大阪市住之江区新北島4-2,1,,,,1,,,,,34.605984,135.465149,
662,E2710000618201,新北島会館南公園,大阪府大阪市住之江区新北島5-3,,,,1,,,,,,34.60743859,135.462867,
663,E2710000619201,サニーコットン住之江,大阪府大阪市住之江区新北島6-1-5,1,,,,1,,,,,34.60598187,135.4643342,
664,E2710000620201,新北島小学校,大阪府大阪市住之江区新北島6-2-56,1,,,,1,,,,1,34.60557628,135.4636927,
